job,avgsalary,experience,jobX
Developer  full-stack,137319,34,5
Developer  full-stack,131076,35,5
Developer  full-stack,149854,36,5
Developer  full-stack,134166,37,5
Developer  full-stack,133650,38,5
Developer  full-stack,133930,39,5
Developer  full-stack,53335,4,5
Developer  full-stack,136737,40,5
Developer  full-stack,140107,41,5
Developer  full-stack,153679,42,5
Developer  full-stack,133229,43,5
Developer  full-stack,136949,44,5
Developer  full-stack,168014,45,5
Developer  full-stack,122365,46,5
Developer  full-stack,107184,47,5
Developer  full-stack,169051,48,5
Developer  full-stack,97461,49,5
Developer  full-stack,50886,5,5
Developer  full-stack,121400,50,5
Developer  full-stack,71928,6,5
Developer  full-stack,72223,7,5
Developer  full-stack,77945,8,5
Developer  full-stack,80223,9,5
Developer  full-stack,26721,0.5,5
Developer  full-stack,149267,60,5
Developer  back-end,0,1,6
Developer  back-end,0,10,6
Developer  back-end,0,11,6
Developer  back-end,0,12,6
Developer  back-end,0,13,6
Developer  back-end,0,14,6
Developer  back-end,0,15,6
Developer  back-end,0,16,6
Developer  back-end,0,17,6
Developer  back-end,0,18,6
Developer  back-end,0,19,6
Developer  back-end,0,2,6
Developer  back-end,0,20,6
Developer  back-end,0,21,6
Developer  back-end,0,22,6
Developer  back-end,0,23,6
Developer  back-end,0,24,6
Developer  back-end,0,25,6
Developer  back-end,0,26,6
Developer  back-end,0,27,6
Developer  back-end,0,28,6
Developer  back-end,0,29,6
Developer  back-end,0,3,6
Developer  back-end,0,30,6
Developer  back-end,0,31,6
Developer  back-end,0,32,6
Developer  back-end,0,33,6
Developer  back-end,0,34,6
Developer  back-end,0,35,6
Developer  back-end,0,36,6
Developer  back-end,0,37,6
Developer  back-end,0,38,6
Developer  back-end,0,39,6
Developer  back-end,0,4,6
Developer  back-end,0,40,6
Developer  back-end,0,41,6
Developer  back-end,0,42,6
Developer  back-end,0,43,6
Developer  back-end,0,44,6
Developer  back-end,0,45,6
Developer  back-end,0,46,6
Developer  back-end,0,47,6
Developer  back-end,0,48,6
Developer  back-end,0,49,6
Developer  back-end,0,5,6
Developer  back-end,0,50,6
Developer  back-end,0,6,6
Developer  back-end,0,7,6
Developer  back-end,0,8,6
Developer  back-end,0,9,6
Developer  back-end,0,0.5,6
Developer  back-end,0,60,6
Developer  desktop or enterprise applications,52263,1,7
Developer  desktop or enterprise applications,79675,10,7
Developer  desktop or enterprise applications,90404,11,7
Developer  desktop or enterprise applications,77229,12,7
Developer  desktop or enterprise applications,80469,13,7
Developer  desktop or enterprise applications,103499,14,7
Developer  desktop or enterprise applications,98258,15,7
Developer  desktop or enterprise applications,84618,16,7
Developer  desktop or enterprise applications,98318,17,7
Developer  desktop or enterprise applications,106830,18,7
Developer  desktop or enterprise applications,107682,19,7
Developer  desktop or enterprise applications,41960,2,7
Developer  desktop or enterprise applications,111551,20,7
Developer  desktop or enterprise applications,132226,21,7
Developer  desktop or enterprise applications,98051,22,7
Developer  desktop or enterprise applications,106681,23,7
Developer  desktop or enterprise applications,105254,24,7
Developer  desktop or enterprise applications,102340,25,7
Developer  desktop or enterprise applications,115619,26,7
Developer  desktop or enterprise applications,103757,27,7
Developer  desktop or enterprise applications,115574,28,7
Developer  desktop or enterprise applications,103056,29,7
Developer  desktop or enterprise applications,61086,3,7
Developer  desktop or enterprise applications,116741,30,7
Developer  desktop or enterprise applications,133775,31,7
Developer  desktop or enterprise applications,99395,32,7
Developer  desktop or enterprise applications,95962,33,7
Developer  desktop or enterprise applications,105252,34,7
Developer  desktop or enterprise applications,125470,35,7
Developer  desktop or enterprise applications,133372,36,7
Developer  desktop or enterprise applications,126587,37,7
Developer  desktop or enterprise applications,143899,38,7
Developer  desktop or enterprise applications,137737,39,7
Developer  desktop or enterprise applications,60301,4,7
Developer  desktop or enterprise applications,128919,40,7
Developer  desktop or enterprise applications,122617,41,7
Developer  desktop or enterprise applications,134161,42,7
Developer  desktop or enterprise applications,122438,43,7
Developer  desktop or enterprise applications,123636,44,7
Developer  desktop or enterprise applications,125420,45,7
Developer  desktop or enterprise applications,118674,46,7
Developer  desktop or enterprise applications,88092,47,7
Developer  desktop or enterprise applications,132584,48,7
Developer  desktop or enterprise applications,176211,49,7
Developer  desktop or enterprise applications,43951,5,7
Developer  desktop or enterprise applications,85901,50,7
Developer  desktop or enterprise applications,70483,6,7
Developer  desktop or enterprise applications,64133,7,7
Developer  desktop or enterprise applications,68076,8,7
Developer  desktop or enterprise applications,79568,9,7
Developer  desktop or enterprise applications,68279,0.5,7
Developer  desktop or enterprise applications,125034,60,7
Developer  QA or test,35266,1,8
Developer  QA or test,91721,10,8
Developer  QA or test,102858,11,8
Developer  QA or test,86771,12,8
Developer  QA or test,117369,13,8
Developer  QA or test,82895,14,8
Developer  QA or test,109633,15,8
Developer  QA or test,78668,16,8
Developer  QA or test,126189,17,8
Developer  QA or test,86508,18,8
Developer  QA or test,85891,19,8
Developer  QA or test,58460,2,8
Developer  QA or test,97322,20,8
Developer  QA or test,125157,21,8
Developer  QA or test,106004,22,8
Developer  QA or test,110999,23,8
Developer  QA or test,115299,24,8
Developer  QA or test,116152,25,8
Developer  QA or test,148808,26,8
Developer  QA or test,108706,27,8
Developer  QA or test,143864,28,8
Developer  QA or test,236068,29,8
Developer  QA or test,99793,3,8
Developer  QA or test,94370,30,8
Developer  QA or test,79094,31,8
Developer  QA or test,132071,32,8
Developer  QA or test,100625,33,8
Developer  QA or test,110612,34,8
Developer  QA or test,75220,35,8
Developer  QA or test,86652,36,8
Developer  QA or test,74884,37,8
Developer  QA or test,91097,38,8
