orgsize,salary
100 to 499 employees,85315
1000 to 4999 employees,49009
10000 or more employees,35467
100 to 499 employees,7092
20 to 99 employees,69648
100 to 499 employees,96360
10000 or more employees,7738
Just me,399
1000 to 4999 employees,20636
1000 to 4999 employees,33300
2 to 9 employees,33480
100 to 499 employees,25980
10000 or more employees,117624
1000 to 4999 employees,21360
Just me,300
2 to 9 employees,36000
10 to 19 employees,53322
10000 or more employees,44253
20 to 99 employees,85315
1000 to 4999 employees,12024
2 to 9 employees,27696
500 to 999 employees,77848
10 to 19 employees,6672
10 to 19 employees,52464
20 to 99 employees,63984
1000 to 4999 employees,25794
100 to 499 employees,254907
10 to 19 employees,96852
20 to 99 employees,13308
10000 or more employees,63986
10 to 19 employees,84925
10000 or more employees,96492
10 to 19 employees,55032
Just me,204756
100 to 499 employees,5988
20 to 99 employees,53322
500 to 999 employees,51189
100 to 499 employees,14832
100 to 499 employees,19346
500 to 999 employees,95979
100 to 499 employees,1550
20 to 99 employees,37325
2 to 9 employees,112008
10000 or more employees,91200
10000 or more employees,39480
1000 to 4999 employees,15477
2 to 9 employees,2832
100 to 499 employees,12897
20 to 99 employees,56617
10 to 19 employees,7500
20 to 99 employees,46923
500 to 999 employees,65332
20 to 99 employees,160000
20 to 99 employees,60000
1000 to 4999 employees,160000
20 to 99 employees,258850
20 to 99 employees,84925
500 to 999 employees,85104
10 to 19 employees,2172
100 to 499 employees,40308
20 to 99 employees,8508
20 to 99 employees,77850
1000 to 4999 employees,38692
500 to 999 employees,18056
2 to 9 employees,2316
20 to 99 employees,19200
2 to 9 employees,7200
2 to 9 employees,37645
10 to 19 employees,4644
1000 to 4999 employees,20472
1000 to 4999 employees,18576
1000 to 4999 employees,9264
100 to 499 employees,67824
10000 or more employees,2028
100 to 499 employees,53322
10000 or more employees,18740
10 to 19 employees,38388
10000 or more employees,355968
100 to 499 employees,428712
100 to 499 employees,103419
20 to 99 employees,39210
500 to 999 employees,33276
5000 to 9999 employees,4514
2 to 9 employees,35868
500 to 999 employees,28272
1000 to 4999 employees,58654
100 to 499 employees,55458
100 to 499 employees,106644
2 to 9 employees,41017
20 to 99 employees,3839
1000 to 4999 employees,75
1000 to 4999 employees,120000
100 to 499 employees,168
5000 to 9999 employees,12091
10000 or more employees,31584
10 to 19 employees,113761
2 to 9 employees,159966
Just me,38388
20 to 99 employees,10800
20 to 99 employees,85315
500 to 999 employees,95979
10000 or more employees,76783
10 to 19 employees,26661
100 to 499 employees,31993
10 to 19 employees,51192
Just me,74651
2 to 9 employees,20472
10000 or more employees,127388
10 to 19 employees,32628
500 to 999 employees,33276
100 to 499 employees,31993
I don’t know,77850
20 to 99 employees,40572
1000 to 4999 employees,70380
100 to 499 employees,69318
20 to 99 employees,55668
10000 or more employees,150767
Just me,64709
20 to 99 employees,5159
10 to 19 employees,2628
20 to 99 employees,78552
100 to 499 employees,120360
100 to 499 employees,62093
100 to 499 employees,22548
5000 to 9999 employees,109625
20 to 99 employees,81666
10 to 19 employees,44790
2 to 9 employees,69318
20 to 99 employees,59720
20 to 99 employees,31992
100 to 499 employees,47990
1000 to 4999 employees,30414
I don’t know,69108
500 to 999 employees,100440
10000 or more employees,10836
20 to 99 employees,63986
1000 to 4999 employees,17664
100 to 499 employees,51189
100 to 499 employees,49032
1000 to 4999 employees,66948
500 to 999 employees,80788
100 to 499 employees,100594
20 to 99 employees,113075
2 to 9 employees,69318
100 to 499 employees,11664
20 to 99 employees,61320
2 to 9 employees,8208
10000 or more employees,57588
20 to 99 employees,43512
5000 to 9999 employees,86872
5000 to 9999 employees,36112
20 to 99 employees,102372
20 to 99 employees,48756
20 to 99 employees,10318
10 to 19 employees,12000
2 to 9 employees,110000
1000 to 4999 employees,39458
10000 or more employees,51189
100 to 499 employees,43512
20 to 99 employees,12897
10000 or more employees,53322
10000 or more employees,50400
2 to 9 employees,36000
1000 to 4999 employees,37402
1000 to 4999 employees,47990
20 to 99 employees,188459
100 to 499 employees,20004
1000 to 4999 employees,90647
10000 or more employees,60948
20 to 99 employees,33852
100 to 499 employees,42657
10000 or more employees,5988
20 to 99 employees,6900
10000 or more employees,16778
10 to 19 employees,188459
2 to 9 employees,15072
20 to 99 employees,48756
2 to 9 employees,152628
10 to 19 employees,125544
10 to 19 employees,504
1000 to 4999 employees,69318
10000 or more employees,50789
500 to 999 employees,71472
1000 to 4999 employees,70385
100 to 499 employees,15593
1000 to 4999 employees,30948
20 to 99 employees,21329
20 to 99 employees,44790
20 to 99 employees,23040
5000 to 9999 employees,76783
2 to 9 employees,25980
2 to 9 employees,5220
2 to 9 employees,7200
500 to 999 employees,84624
10 to 19 employees,47115
Just me,80000
10000 or more employees,27727
100 to 499 employees,46747
10000 or more employees,38692
10 to 19 employees,61853
2 to 9 employees,150767
10000 or more employees,188459
1000 to 4999 employees,55455
2 to 9 employees,42228
5000 to 9999 employees,58654
10000 or more employees,52879
20 to 99 employees,24000
10000 or more employees,38388
100 to 499 employees,81600
10000 or more employees,115588
500 to 999 employees,74651
10000 or more employees,283084
Just me,97515
20 to 99 employees,11484
10 to 19 employees,77436
10000 or more employees,53322
20 to 99 employees,19752
5000 to 9999 employees,49056
100 to 499 employees,61853
20 to 99 employees,69318
100 to 499 employees,31176
500 to 999 employees,102372
20 to 99 employees,125639
500 to 999 employees,20784
100 to 499 employees,61428
10 to 19 employees,53880
100 to 499 employees,83502
20 to 99 employees,130932
2 to 9 employees,44796
5000 to 9999 employees,70001
2 to 9 employees,38388
5000 to 9999 employees,73051
10000 or more employees,74651
2 to 9 employees,19944
10 to 19 employees,13908
20 to 99 employees,19570
5000 to 9999 employees,114792
500 to 999 employees,61056
100 to 499 employees,66540
100 to 499 employees,42657
20 to 99 employees,77952
20 to 99 employees,2579
10 to 19 employees,39672
100 to 499 employees,127972
500 to 999 employees,134445
20 to 99 employees,87948
20 to 99 employees,237000
2 to 9 employees,2316
Just me,6192
100 to 499 employees,252
1000 to 4999 employees,51189
1000 to 4999 employees,38388
100 to 499 employees,69318
100 to 499 employees,71451
5000 to 9999 employees,59882
10 to 19 employees,30708
100 to 499 employees,6936
100 to 499 employees,43512
5000 to 9999 employees,38692
10000 or more employees,127972
Just me,85315
1000 to 4999 employees,15540
2 to 9 employees,14856
2 to 9 employees,86040
10000 or more employees,69318
500 to 999 employees,85315
10000 or more employees,49956
100 to 499 employees,110664
100 to 499 employees,35832
2 to 9 employees,40956
100 to 499 employees,12381
100 to 499 employees,9012
20 to 99 employees,56538
10000 or more employees,71451
10000 or more employees,75564
10000 or more employees,53322
Just me,159966
100 to 499 employees,24120
20 to 99 employees,26184
10000 or more employees,21925
100 to 499 employees,69102
5000 to 9999 employees,59720
10 to 19 employees,28404
20 to 99 employees,96000
10000 or more employees,39991
1000 to 4999 employees,8664
20 to 99 employees,66540
10000 or more employees,7738
500 to 999 employees,78294
10000 or more employees,28374
10 to 19 employees,19584
5000 to 9999 employees,28392
1000 to 4999 employees,186626
20 to 99 employees,77084
2 to 9 employees,16632
1000 to 4999 employees,80448
1000 to 4999 employees,41628
1000 to 4999 employees,81666
2 to 9 employees,8520
10 to 19 employees,150767
1000 to 4999 employees,99900
Just me,73584
1000 to 4999 employees,42660
2 to 9 employees,30708
2 to 9 employees,19200
500 to 999 employees,65334
20 to 99 employees,46086
20 to 99 employees,63984
2 to 9 employees,33276
20 to 99 employees,43644
1000 to 4999 employees,451848
10 to 19 employees,409512
20 to 99 employees,26661
100 to 499 employees,54384
500 to 999 employees,37404
10 to 19 employees,10056
100 to 499 employees,20868
1000 to 4999 employees,64608
10000 or more employees,122640
10000 or more employees,56538
100 to 499 employees,41628
100 to 499 employees,20472
10 to 19 employees,14076
2 to 9 employees,21756
100 to 499 employees,22764
100 to 499 employees,20784
20 to 99 employees,138203
20 to 99 employees,70152
500 to 999 employees,127972
100 to 499 employees,38392
1000 to 4999 employees,460704
100 to 499 employees,71614
20 to 99 employees,20472
20 to 99 employees,143484
2 to 9 employees,47990
500 to 999 employees,133305
10000 or more employees,45230
20 to 99 employees,87448
100 to 499 employees,53100
100 to 499 employees,9240
100 to 499 employees,74651
1000 to 4999 employees,41461
1000 to 4999 employees,57348
100 to 499 employees,93846
5000 to 9999 employees,53927
100 to 499 employees,97370
2 to 9 employees,7368
100 to 499 employees,46923
10000 or more employees,124103
Just me,6322
20 to 99 employees,123816
10000 or more employees,96742
20 to 99 employees,56892
10 to 19 employees,46068
100 to 499 employees,87448
100 to 499 employees,77850
100 to 499 employees,66119
100 to 499 employees,6449
Just me,1416
100 to 499 employees,17616
100 to 499 employees,43974
2 to 9 employees,58654
100 to 499 employees,110000
10000 or more employees,23215
Just me,68252
100 to 499 employees,60307
20 to 99 employees,62712
10 to 19 employees,14076
10 to 19 employees,31410
20 to 99 employees,89580
10000 or more employees,150000
10 to 19 employees,1020
20 to 99 employees,19196
1000 to 4999 employees,47990
1000 to 4999 employees,70069
1000 to 4999 employees,43550
20 to 99 employees,31992
10000 or more employees,55500
20 to 99 employees,26664
20 to 99 employees,21372
20 to 99 employees,64641
20 to 99 employees,47990
100 to 499 employees,58654
500 to 999 employees,51189
2 to 9 employees,35832
5000 to 9999 employees,57588
100 to 499 employees,44076
10 to 19 employees,58654
10000 or more employees,38392
1000 to 4999 employees,94230
100 to 499 employees,38388
10 to 19 employees,95508
100 to 499 employees,12792
10000 or more employees,348
2 to 9 employees,31992
500 to 999 employees,57588
20 to 99 employees,5412
10 to 19 employees,25596
20 to 99 employees,24972
20 to 99 employees,59720
100 to 499 employees,65332
10 to 19 employees,138203
20 to 99 employees,38856
20 to 99 employees,30708
20 to 99 employees,57588
100 to 499 employees,103908
20 to 99 employees,9576
2 to 9 employees,93335
20 to 99 employees,82736
10000 or more employees,138637
5000 to 9999 employees,124103
100 to 499 employees,108336
100 to 499 employees,50123
1000 to 4999 employees,65961
10 to 19 employees,14124
10000 or more employees,82116
Just me,80000
I don’t know,85315
10 to 19 employees,85315
5000 to 9999 employees,56538
1000 to 4999 employees,12897
10 to 19 employees,106644
100 to 499 employees,60000
1000 to 4999 employees,131343
2 to 9 employees,150767
100 to 499 employees,44796
10 to 19 employees,50256
10000 or more employees,13524
2 to 9 employees,31993
100 to 499 employees,91920
1000 to 4999 employees,56315
2 to 9 employees,65436
100 to 499 employees,106793
10 to 19 employees,39672
2 to 9 employees,4440
100 to 499 employees,53322
20 to 99 employees,49628
100 to 499 employees,47352
100 to 499 employees,14076
20 to 99 employees,15600
20 to 99 employees,50784
1000 to 4999 employees,84925
2 to 9 employees,87948
20 to 99 employees,117308
100 to 499 employees,60948
10 to 19 employees,25000
10000 or more employees,69318
Just me,25980
20 to 99 employees,124103
2 to 9 employees,68160
1000 to 4999 employees,123816
100 to 499 employees,69318
10000 or more employees,61853
1000 to 4999 employees,118374
2 to 9 employees,4733
20 to 99 employees,9288
500 to 999 employees,63984
10 to 19 employees,30000
20 to 99 employees,50123
I don’t know,68000
500 to 999 employees,38392
100 to 499 employees,6144
100 to 499 employees,5159
100 to 499 employees,360756
500 to 999 employees,150000
2 to 9 employees,33648
1000 to 4999 employees,104281
5000 to 9999 employees,34548
1000 to 4999 employees,18288
1000 to 4999 employees,90460
20 to 99 employees,117308
2 to 9 employees,58654
20 to 99 employees,14076
20 to 99 employees,40956
500 to 999 employees,63986
1000 to 4999 employees,63986
100 to 499 employees,149301
20 to 99 employees,56736
10 to 19 employees,33828
1000 to 4999 employees,13872
20 to 99 employees,50123
10 to 19 employees,20741
20 to 99 employees,14400
100 to 499 employees,38196
20 to 99 employees,8184
500 to 999 employees,56784
100 to 499 employees,8400
1000 to 4999 employees,45140
10000 or more employees,87024
20 to 99 employees,4488
2 to 9 employees,266600
Just me,120303
5000 to 9999 employees,41591
1000 to 4999 employees,57336
10000 or more employees,5640
Just me,56538
10 to 19 employees,52103
100 to 499 employees,40956
500 to 999 employees,358320
1000 to 4999 employees,36112
10000 or more employees,12000
100 to 499 employees,61853
1000 to 4999 employees,19740
20 to 99 employees,51948
1000 to 4999 employees,482460
2 to 9 employees,4953
20 to 99 employees,27756
100 to 499 employees,74651
100 to 499 employees,36372
1000 to 4999 employees,25794
Just me,53322
100 to 499 employees,49908
20 to 99 employees,4644
100 to 499 employees,12072
100 to 499 employees,117898
100 to 499 employees,42228
1000 to 4999 employees,47990
100 to 499 employees,13524
500 to 999 employees,77850
20 to 99 employees,216
20 to 99 employees,62820
100 to 499 employees,48000
20 to 99 employees,46764
20 to 99 employees,85315
20 to 99 employees,76597
10000 or more employees,116472
20 to 99 employees,102058
5000 to 9999 employees,63448
20 to 99 employees,200000
500 to 999 employees,72000
2 to 9 employees,32666
10 to 19 employees,321552
100 to 499 employees,69372
100 to 499 employees,56460
1000 to 4999 employees,87252
10000 or more employees,120000
1000 to 4999 employees,23888
20 to 99 employees,39458
100 to 499 employees,19346
10 to 19 employees,70380
20 to 99 employees,117012
20 to 99 employees,43974
10000 or more employees,390312
1000 to 4999 employees,25054
100 to 499 employees,92002
20 to 99 employees,55476
10 to 19 employees,429984
10000 or more employees,156168
10000 or more employees,5701
10 to 19 employees,99288
5000 to 9999 employees,49908
1000 to 4999 employees,93701
20 to 99 employees,55455
10 to 19 employees,54388
1000 to 4999 employees,43724
10000 or more employees,4875
20 to 99 employees,2868
20 to 99 employees,213287
10 to 19 employees,15036
1000 to 4999 employees,54852
500 to 999 employees,37692
10 to 19 employees,84178
1000 to 4999 employees,52725
10 to 19 employees,25104
10000 or more employees,40224
500 to 999 employees,15480
20 to 99 employees,47493
100 to 499 employees,37668
20 to 99 employees,213287
10 to 19 employees,46487
100 to 499 employees,138203
10000 or more employees,75384
2 to 9 employees,51189
10000 or more employees,47990
500 to 999 employees,53322
100 to 499 employees,44400
20 to 99 employees,52464
100 to 499 employees,13542
1000 to 4999 employees,75384
20 to 99 employees,61056
2 to 9 employees,24000
100 to 499 employees,37392
10 to 19 employees,21756
100 to 499 employees,40833
100 to 499 employees,36222
100 to 499 employees,56521
500 to 999 employees,79152
100 to 499 employees,67548
1000 to 4999 employees,9028
100 to 499 employees,44796
10 to 19 employees,41568
10 to 19 employees,115830
20 to 99 employees,82500
500 to 999 employees,140000
100 to 499 employees,168
10000 or more employees,90647
20 to 99 employees,2688
10 to 19 employees,35807
2 to 9 employees,6191
2 to 9 employees,6240
1000 to 4999 employees,38692
100 to 499 employees,49584
1000 to 4999 employees,23700
100 to 499 employees,47990
10000 or more employees,56538
20 to 99 employees,41556
100 to 499 employees,170630
100 to 499 employees,24505
2 to 9 employees,97128
100 to 499 employees,9028
1000 to 4999 employees,6000
20 to 99 employees,27756
20 to 99 employees,28584
10 to 19 employees,8220
10000 or more employees,92780
1000 to 4999 employees,79153
10000 or more employees,189715
100 to 499 employees,55000
20 to 99 employees,37692
1000 to 4999 employees,160000
I don’t know,16656
100 to 499 employees,25980
10 to 19 employees,19452
20 to 99 employees,79344
20 to 99 employees,30153
100 to 499 employees,204
500 to 999 employees,85000
100 to 499 employees,8076
100 to 499 employees,61056
20 to 99 employees,39960
10 to 19 employees,67824
100 to 499 employees,69541
2 to 9 employees,90647
20 to 99 employees,95976
10000 or more employees,19346
100 to 499 employees,100511
500 to 999 employees,63986
20 to 99 employees,38388
2 to 9 employees,41592
20 to 99 employees,5388
Just me,57288
10 to 19 employees,12468
20 to 99 employees,31993
500 to 999 employees,45857
500 to 999 employees,8319
20 to 99 employees,20604
20 to 99 employees,125639
2 to 9 employees,53808
10 to 19 employees,136504
500 to 999 employees,58654
10000 or more employees,53322
2 to 9 employees,99080
100 to 499 employees,33948
100 to 499 employees,27756
5000 to 9999 employees,86376
20 to 99 employees,85000
500 to 999 employees,95979
5000 to 9999 employees,86915
5000 to 9999 employees,99000
20 to 99 employees,62820
10000 or more employees,6804
100 to 499 employees,79983
100 to 499 employees,66652
20 to 99 employees,60787
20 to 99 employees,139616
100 to 499 employees,138637
2 to 9 employees,24864
20 to 99 employees,69318
100 to 499 employees,200000
1000 to 4999 employees,44796
10000 or more employees,65053
1000 to 4999 employees,25596
1000 to 4999 employees,168600
100 to 499 employees,83182
2 to 9 employees,115000
2 to 9 employees,33276
2 to 9 employees,153564
10 to 19 employees,69828
10000 or more employees,39079
500 to 999 employees,76640
2 to 9 employees,319932
Just me,7200
10 to 19 employees,40956
2 to 9 employees,67186
1000 to 4999 employees,60000
2 to 9 employees,36108
20 to 99 employees,100000
20 to 99 employees,62052
20 to 99 employees,6449
20 to 99 employees,63672
500 to 999 employees,12000
500 to 999 employees,42657
Just me,22620
5000 to 9999 employees,79646
10000 or more employees,76884
500 to 999 employees,20636
2 to 9 employees,8280
10000 or more employees,36038
10 to 19 employees,86035
10000 or more employees,24312
1000 to 4999 employees,96360
100 to 499 employees,20773
100 to 499 employees,159966
10000 or more employees,63384
20 to 99 employees,145000
2 to 9 employees,13092
20 to 99 employees,53500
10000 or more employees,138203
5000 to 9999 employees,32243
100 to 499 employees,89581
Just me,61428
10000 or more employees,51189
100 to 499 employees,136514
100 to 499 employees,58654
2 to 9 employees,124104
20 to 99 employees,63986
100 to 499 employees,85315
2 to 9 employees,4788
100 to 499 employees,33768
100 to 499 employees,30153
100 to 499 employees,37325
100 to 499 employees,60787
1000 to 4999 employees,14928
Just me,90456
2 to 9 employees,7272
20 to 99 employees,55500
10000 or more employees,65332
10000 or more employees,7740
1000 to 4999 employees,234616
100 to 499 employees,7680
Just me,26661
20 to 99 employees,56991
2 to 9 employees,40956
20 to 99 employees,76788
1000 to 4999 employees,53322
20 to 99 employees,74651
20 to 99 employees,124644
20 to 99 employees,53748
2 to 9 employees,57588
10 to 19 employees,56208
500 to 999 employees,85315
10 to 19 employees,201557
20 to 99 employees,26874
100 to 499 employees,74651
10 to 19 employees,159966
Just me,5772
100 to 499 employees,7428
1000 to 4999 employees,85315
20 to 99 employees,57588
5000 to 9999 employees,18696
2 to 9 employees,86872
500 to 999 employees,78916
10 to 19 employees,86040
Just me,63986
1000 to 4999 employees,80664
100 to 499 employees,165000
100 to 499 employees,57588
100 to 499 employees,60515
20 to 99 employees,42876
5000 to 9999 employees,160000
10 to 19 employees,464304
10000 or more employees,70385
100 to 499 employees,54025
Just me,127972
20 to 99 employees,54384
500 to 999 employees,145000
10000 or more employees,8061
100 to 499 employees,41568
100 to 499 employees,50220
20 to 99 employees,59712
2 to 9 employees,784
100 to 499 employees,115000
10 to 19 employees,74651
2 to 9 employees,38392
100 to 499 employees,129620
Just me,12936
10 to 19 employees,50220
20 to 99 employees,29436
100 to 499 employees,88514
20 to 99 employees,31787
100 to 499 employees,49860
500 to 999 employees,25980
20 to 99 employees,150000
10 to 19 employees,2424
2 to 9 employees,47508
2 to 9 employees,78084
20 to 99 employees,66119
20 to 99 employees,100511
2 to 9 employees,28788
10000 or more employees,110000
1000 to 4999 employees,61428
20 to 99 employees,31176
2 to 9 employees,47990
20 to 99 employees,24936
2 to 9 employees,127972
20 to 99 employees,75324
5000 to 9999 employees,24924
100 to 499 employees,37325
20 to 99 employees,26232
100 to 499 employees,85315
20 to 99 employees,7738
100 to 499 employees,4788
2 to 9 employees,69318
20 to 99 employees,48756
10000 or more employees,51933
10000 or more employees,90000
2 to 9 employees,3264
10000 or more employees,28374
20 to 99 employees,4488
10 to 19 employees,36600
20 to 99 employees,60792
20 to 99 employees,34140
10 to 19 employees,160000
500 to 999 employees,85315
20 to 99 employees,76788
1000 to 4999 employees,24
100 to 499 employees,79983
1000 to 4999 employees,185000
100 to 499 employees,89797
2 to 9 employees,39012
20 to 99 employees,58563
100 to 499 employees,40525
100 to 499 employees,185000
10 to 19 employees,94230
10000 or more employees,147000
10 to 19 employees,6852
20 to 99 employees,124176
1000 to 4999 employees,68324
2 to 9 employees,22104
10 to 19 employees,25596
20 to 99 employees,7128
I don’t know,124000
500 to 999 employees,19200
100 to 499 employees,87948
100 to 499 employees,473496
10000 or more employees,72594
5000 to 9999 employees,33300
100 to 499 employees,257678
500 to 999 employees,5508
10000 or more employees,188546
20 to 99 employees,47990
20 to 99 employees,165000
Just me,62467
2 to 9 employees,90000
500 to 999 employees,25596
500 to 999 employees,53322
10 to 19 employees,25596
100 to 499 employees,31160
1000 to 4999 employees,87454
500 to 999 employees,11472
20 to 99 employees,70000
5000 to 9999 employees,6240
100 to 499 employees,63384
10 to 19 employees,86872
10000 or more employees,136000
20 to 99 employees,48000
500 to 999 employees,127500
20 to 99 employees,23462
1000 to 4999 employees,74547
Just me,125650
10 to 19 employees,49056
20 to 99 employees,43974
20 to 99 employees,38700
Just me,149301
10000 or more employees,122640
10000 or more employees,220
20 to 99 employees,18000
100 to 499 employees,69102
Just me,115176
20 to 99 employees,38388
2 to 9 employees,34140
10000 or more employees,21756
2 to 9 employees,16536
20 to 99 employees,15252
20 to 99 employees,18576
20 to 99 employees,150000
20 to 99 employees,35340
20 to 99 employees,27564
2 to 9 employees,9240
100 to 499 employees,43524
10000 or more employees,80000
I don’t know,126000
500 to 999 employees,60787
20 to 99 employees,58654
5000 to 9999 employees,42657
10000 or more employees,145770
2 to 9 employees,84000
1000 to 4999 employees,14952
20 to 99 employees,95979
500 to 999 employees,94913
1000 to 4999 employees,120612
20 to 99 employees,26661
I don’t know,92973
2 to 9 employees,47990
10000 or more employees,38388
500 to 999 employees,409512
10 to 19 employees,182500
100 to 499 employees,62467
10 to 19 employees,56538
1000 to 4999 employees,35220
5000 to 9999 employees,180000
1000 to 4999 employees,43131
1000 to 4999 employees,16092
10000 or more employees,140000
20 to 99 employees,38388
100 to 499 employees,97605
100 to 499 employees,61186
100 to 499 employees,74651
2 to 9 employees,31992
2 to 9 employees,130000
100 to 499 employees,23040
5000 to 9999 employees,43380
1000 to 4999 employees,163000
1000 to 4999 employees,80000
20 to 99 employees,69318
Just me,138637
2 to 9 employees,41461
1000 to 4999 employees,195210
10000 or more employees,143392
100 to 499 employees,51192
10 to 19 employees,160884
20 to 99 employees,37402
100 to 499 employees,79000
20 to 99 employees,40956
1000 to 4999 employees,39458
1000 to 4999 employees,37325
20 to 99 employees,34860
100 to 499 employees,92000
5000 to 9999 employees,56538
1000 to 4999 employees,50220
10000 or more employees,62000
10000 or more employees,191950
20 to 99 employees,54120
20 to 99 employees,76788
20 to 99 employees,115000
20 to 99 employees,51768
1000 to 4999 employees,78516
10000 or more employees,110000
100 to 499 employees,42717
10 to 19 employees,36072
I don’t know,33276
100 to 499 employees,31992
1000 to 4999 employees,11280
100 to 499 employees,150000
1000 to 4999 employees,31993
2 to 9 employees,95979
1000 to 4999 employees,60000
100 to 499 employees,92140
100 to 499 employees,60000
10000 or more employees,88464
500 to 999 employees,45324
10000 or more employees,383916
5000 to 9999 employees,23868
10 to 19 employees,31992
1000 to 4999 employees,260000
100 to 499 employees,45768
100 to 499 employees,58548
1000 to 4999 employees,44796
10 to 19 employees,56736
2 to 9 employees,94644
20 to 99 employees,8309
100 to 499 employees,74784
10000 or more employees,43623
10 to 19 employees,115000
2 to 9 employees,3864
1000 to 4999 employees,140000
100 to 499 employees,6408
100 to 499 employees,110633
10000 or more employees,118000
10 to 19 employees,42657
10000 or more employees,22212
10000 or more employees,149007
500 to 999 employees,93701
5000 to 9999 employees,100511
20 to 99 employees,73584
20 to 99 employees,52255
1000 to 4999 employees,140000
20 to 99 employees,81988
100 to 499 employees,7284
100 to 499 employees,98916
100 to 499 employees,110000
10 to 19 employees,35179
500 to 999 employees,4788
10000 or more employees,180000
500 to 999 employees,399
10000 or more employees,39576
2 to 9 employees,74651
10 to 19 employees,49332
100 to 499 employees,47172
100 to 499 employees,160000
20 to 99 employees,118000
20 to 99 employees,83182
100 to 499 employees,4644
2 to 9 employees,14544
500 to 999 employees,5880
10000 or more employees,200000
10 to 19 employees,32736
10 to 19 employees,69492
10000 or more employees,135000
500 to 999 employees,39672
20 to 99 employees,65000
100 to 499 employees,34929
1000 to 4999 employees,103000
10000 or more employees,125000
100 to 499 employees,145000
10 to 19 employees,117308
Just me,117126
20 to 99 employees,120000
2 to 9 employees,213287
1000 to 4999 employees,57588
500 to 999 employees,81600
20 to 99 employees,89500
1000 to 4999 employees,100000
100 to 499 employees,149301
10 to 19 employees,1860
20 to 99 employees,170630
Just me,144000
20 to 99 employees,31416
100 to 499 employees,75717
10000 or more employees,105000
20 to 99 employees,131000
10 to 19 employees,65053
500 to 999 employees,58654
20 to 99 employees,51192
1000 to 4999 employees,74651
100 to 499 employees,176000
1000 to 4999 employees,59500
20 to 99 employees,69318
10 to 19 employees,127972
2 to 9 employees,17448
500 to 999 employees,75000
100 to 499 employees,71803
20 to 99 employees,75384
Just me,144000
1000 to 4999 employees,87948
20 to 99 employees,135000
10 to 19 employees,100834
1000 to 4999 employees,116000
10 to 19 employees,12468
500 to 999 employees,140000
10000 or more employees,29436
2 to 9 employees,40572
100 to 499 employees,100000
500 to 999 employees,150368
5000 to 9999 employees,47160
100 to 499 employees,230000
10 to 19 employees,11400
1000 to 4999 employees,68460
100 to 499 employees,106644
1000 to 4999 employees,45230
2 to 9 employees,21329
100 to 499 employees,89676
500 to 999 employees,248000
20 to 99 employees,41928
1000 to 4999 employees,101509
1000 to 4999 employees,79983
100 to 499 employees,74784
2 to 9 employees,48552
1000 to 4999 employees,71000
1000 to 4999 employees,250000
20 to 99 employees,24924
10000 or more employees,106000
100 to 499 employees,36000
100 to 499 employees,224600
10000 or more employees,120000
10000 or more employees,17411
100 to 499 employees,51960
5000 to 9999 employees,63301
5000 to 9999 employees,130000
10000 or more employees,76783
20 to 99 employees,18072
20 to 99 employees,87948
2 to 9 employees,19200
20 to 99 employees,95000
100 to 499 employees,59720
500 to 999 employees,46923
Just me,219850
20 to 99 employees,56521
10 to 19 employees,150000
100 to 499 employees,58654
Just me,86868
1000 to 4999 employees,200000
10 to 19 employees,11400
20 to 99 employees,102000
100 to 499 employees,9972
20 to 99 employees,150000
10000 or more employees,106793
1000 to 4999 employees,265000
100 to 499 employees,53322
20 to 99 employees,74651
10000 or more employees,140000
5000 to 9999 employees,27756
1000 to 4999 employees,6984
1000 to 4999 employees,144000
10 to 19 employees,25596
10000 or more employees,18056
1000 to 4999 employees,37692
2 to 9 employees,35192
100 to 499 employees,130000
100 to 499 employees,112287
500 to 999 employees,42657
2 to 9 employees,106644
2 to 9 employees,47743
1000 to 4999 employees,410000
Just me,33300
10 to 19 employees,51192
I don’t know,13569
500 to 999 employees,150000
20 to 99 employees,83232
10 to 19 employees,26880
20 to 99 employees,70000
100 to 499 employees,130000
500 to 999 employees,150000
10 to 19 employees,213287
100 to 499 employees,93701
2 to 9 employees,14400
2 to 9 employees,29860
1000 to 4999 employees,68076
1000 to 4999 employees,104511
20 to 99 employees,49056
20 to 99 employees,4632
100 to 499 employees,16248
20 to 99 employees,83000
100 to 499 employees,115000
10 to 19 employees,12000
10000 or more employees,95000
20 to 99 employees,350000
10 to 19 employees,8220
20 to 99 employees,81049
10 to 19 employees,345528
20 to 99 employees,93701
20 to 99 employees,320000
500 to 999 employees,150000
10000 or more employees,100000
1000 to 4999 employees,83124
10000 or more employees,83124
1000 to 4999 employees,113472
10 to 19 employees,44790
20 to 99 employees,179000
20 to 99 employees,69318
100 to 499 employees,61853
5000 to 9999 employees,172000
1000 to 4999 employees,63384
2 to 9 employees,7848
20 to 99 employees,77850
100 to 499 employees,150000
20 to 99 employees,63986
I don’t know,63986
20 to 99 employees,49872
20 to 99 employees,18120
20 to 99 employees,65000
Just me,38388
500 to 999 employees,145000
Just me,145000
500 to 999 employees,117126
2 to 9 employees,50256
500 to 999 employees,74651
20 to 99 employees,384456
5000 to 9999 employees,225000
100 to 499 employees,87000
500 to 999 employees,138203
10000 or more employees,66240
100 to 499 employees,127972
10 to 19 employees,83124
100 to 499 employees,55000
100 to 499 employees,44790
2 to 9 employees,17280
100 to 499 employees,69264
