orgsize,salary
5000 to 9999 employees,234252
1000 to 4999 employees,53322
10 to 19 employees,150000
1000 to 4999 employees,400000
10000 or more employees,120000
100 to 499 employees,251279
10000 or more employees,46850
20 to 99 employees,327300
100 to 499 employees,172188
1000 to 4999 employees,240000
500 to 999 employees,117308
1000 to 4999 employees,101509
1000 to 4999 employees,92000
20 to 99 employees,164370
10000 or more employees,95000
1000 to 4999 employees,447900
20 to 99 employees,45000
100 to 499 employees,16632
20 to 99 employees,140556
10 to 19 employees,35192
20 to 99 employees,43974
1000 to 4999 employees,81988
20 to 99 employees,49908
100 to 499 employees,140000
1000 to 4999 employees,113075
1000 to 4999 employees,110000
20 to 99 employees,100000
10 to 19 employees,76788
100 to 499 employees,85000
500 to 999 employees,113075
10000 or more employees,230000
1000 to 4999 employees,165000
10000 or more employees,180000
20 to 99 employees,110000
20 to 99 employees,31176
100 to 499 employees,32412
10000 or more employees,120000
Just me,191959
20 to 99 employees,85000
10 to 19 employees,42657
500 to 999 employees,250000
20 to 99 employees,159950
10000 or more employees,130000
20 to 99 employees,100000
10000 or more employees,140000
20 to 99 employees,64029
2 to 9 employees,33300
10 to 19 employees,18048
20 to 99 employees,130000
20 to 99 employees,73140
5000 to 9999 employees,37392
10000 or more employees,64486
100 to 499 employees,280000
5000 to 9999 employees,93000
100 to 499 employees,170000
100 to 499 employees,63384
500 to 999 employees,44796
10000 or more employees,170000
20 to 99 employees,115000
10 to 19 employees,47776
1000 to 4999 employees,22226
20 to 99 employees,125000
100 to 499 employees,100000
10000 or more employees,151000
20 to 99 employees,42231
100 to 499 employees,48998
500 to 999 employees,60252
10000 or more employees,200000
100 to 499 employees,159000
100 to 499 employees,54020
1000 to 4999 employees,110124
20 to 99 employees,37932
I don’t know,140000
1000 to 4999 employees,115000
100 to 499 employees,55000
10 to 19 employees,51189
100 to 499 employees,70000
20 to 99 employees,218000
10000 or more employees,170000
1000 to 4999 employees,155000
5000 to 9999 employees,355000
10 to 19 employees,155000
10000 or more employees,100000
1000 to 4999 employees,90000
5000 to 9999 employees,150000
100 to 499 employees,115500
I don’t know,20472
10 to 19 employees,70276
100 to 499 employees,250000
20 to 99 employees,69588
10000 or more employees,182841
20 to 99 employees,140000
5000 to 9999 employees,109826
10000 or more employees,100000
100 to 499 employees,91416
20 to 99 employees,63984
20 to 99 employees,30108
1000 to 4999 employees,7248
20 to 99 employees,70920
1000 to 4999 employees,300000
500 to 999 employees,126000
20 to 99 employees,47990
1000 to 4999 employees,155000
500 to 999 employees,180000
100 to 499 employees,46068
100 to 499 employees,65332
1000 to 4999 employees,62820
10 to 19 employees,136647
100 to 499 employees,185000
100 to 499 employees,66000
100 to 499 employees,90000
2 to 9 employees,38388
1000 to 4999 employees,106975
1000 to 4999 employees,300000
1000 to 4999 employees,78084
1000 to 4999 employees,105414
100 to 499 employees,66119
1000 to 4999 employees,118380
100 to 499 employees,100511
20 to 99 employees,39672
20 to 99 employees,383916
Just me,281103
1000 to 4999 employees,300000
1000 to 4999 employees,243000
5000 to 9999 employees,24429
1000 to 4999 employees,121968
20 to 99 employees,200000
500 to 999 employees,130000
10 to 19 employees,21925
500 to 999 employees,71027
20 to 99 employees,15780
10000 or more employees,43974
2 to 9 employees,55000
20 to 99 employees,101312
10 to 19 employees,230000
10000 or more employees,300000
500 to 999 employees,220000
2 to 9 employees,37325
100 to 499 employees,136308
10 to 19 employees,34548
100 to 499 employees,67152
5000 to 9999 employees,85320
500 to 999 employees,58654
1000 to 4999 employees,88000
5000 to 9999 employees,167000
1000 to 4999 employees,86405
100 to 499 employees,11233
100 to 499 employees,73000
10000 or more employees,190000
100 to 499 employees,54388
10000 or more employees,305000
500 to 999 employees,165000
100 to 499 employees,18036
10000 or more employees,8352
10000 or more employees,94000
1000 to 4999 employees,70276
10 to 19 employees,41556
100 to 499 employees,120000
20 to 99 employees,59724
2 to 9 employees,314098
10000 or more employees,134817
1000 to 4999 employees,53322
1000 to 4999 employees,85893
20 to 99 employees,64076
1000 to 4999 employees,78084
10000 or more employees,200000
10000 or more employees,57038
10000 or more employees,230000
2 to 9 employees,52769
100 to 499 employees,107350
10 to 19 employees,86000
20 to 99 employees,115000
100 to 499 employees,51536
100 to 499 employees,100511
10000 or more employees,124447
10000 or more employees,210000
10000 or more employees,195000
I don’t know,58500
